Td	ID	  	Tj	Df	Dd	Db
621	369		201	30	390	420
622	299		177	24	421	445
623	2930	601	0	22	22
623	955		621	0	2	2
624	2309	168	23	433	456
624	176		103	15	506	521
624	180		103	16	505	521
625	2345	192	28	405	433
630	305		180	25	425	450
631	2256	131	19	481	500
631	2217	113	18	500	518
631	2355	198	29	404	433
632	962		630	0	2	2
633	214		122	18	493	511
635	313		184	26	425	451
636	217		123	18	495	513
637	2221	115	17	505	522
638	2934	601	1	36	37
638	967		635	0	3	3
638	966		635	0	3	3
641	2275	154	20	467	487
641	2278	154	21	466	487
642	318		185	26	431	457
642	320		185	26	431	457
644	2266	134	20	490	510
644	242		142	20	482	502
645	2267	134	20	491	511
647	2409	235	33	379	412
648	282		164	22	462	484
650	192		110	15	525	540
650	172		93	16	541	557
651	2933	601	0	50	50
653	224		126	17	510	527
654	983		650	0	4	4
655	2925	597	2	56	58
657	2946	618	3	36	39
657	2997	634	1	22	23
657	978		649	0	8	8
658	2202	103	16	539	555
658	2936	610	0	48	48
658	2916	587	1	70	71
659	246		145	22	492	514
659	451		252	43	364	407
660	980		649	0	11	11
660	995		655	0	5	5
660	992		655	2	3	5
662	2327	181	26	455	481
665	2286	161	20	484	504
665	2288	161	21	483	504
675	290		171	24	480	504
677	2243	123	19	535	554
678	961		630	48	0	48
679	2374	213	34	432	466
679	2331	186	27	466	493
683	265		150	23	510	533
683	363		199	29	455	484
685	415		229	37	419	456
687	210		116	18	553	571
688	2251	125	20	543	563
691	2378	216	34	441	475
693	177		103	16	574	590
695	430		235	39	421	460
695	545		322	52	321	373
697	865		547	150	0	150
699	2337	188	29	482	511
701	2304	166	22	513	535
701	273		159	22	520	542
706	218		123	18	565	583
706	381		211	30	465	495
707	383		211	30	466	496
711	2346	192	28	491	519
714	245		142	21	551	572
725	2393	229	33	463	496
727	2395	230	33	464	497
727	226		127	17	583	600
729	247		145	22	562	584
729	249		145	22	562	584
735	2314	176	25	534	559
735	345		192	28	515	543
736	254		146	23	567	590
737	286		171	23	543	566
740	2315	179	25	536	561
741	2319	179	25	537	562
743	351		196	28	519	547
743	257		149	23	571	594
744	2320	180	25	539	564
744	2323	180	26	538	564
747	2447	272	37	438	475
747	2449	272	37	438	475
748	2369	207	34	507	541
750	2325	181	26	543	569
751	263		150	23	578	601
751	264		150	23	578	601
751	469		263	45	443	488
752	2328	181	26	545	571
753	411		229	37	487	524
753	414		229	37	487	524
754	365		199	30	525	555
754	535		313	53	388	441
755	240		134	19	602	621
755	366		201	29	525	554
756	2287	161	21	574	595
756	418		231	38	487	525
756	417		231	38	487	525
758	2418	246	31	481	512
759	796		511	248	0	248
766	433		236	39	491	530
767	434		236	39	492	531
770	271		159	22	589	611
770	275		159	23	588	611
770	307		183	25	562	587
771	2372	213	34	524	558
771	2330	186	27	558	585
771	2427	249	32	490	522
772	2333	186	27	559	586
772	311		184	25	563	588
